Gmt time,BTC,ETH,SIE.DE,USD,CHF,AAPL.US,ADA,CAT.US,DIA.US,GOOG.US,MU.US,NFLX.US,NVDA.US,SNOW.US,SPY.US
2024-03-13,66791,3661,183.954,0.9129668684323446,1.0394254056357646,156.26067030027482,0.7112011905087965,311.68323701532876,357.16815936749657,128.51560716861584,85.95309176229996,556.1036399989044,82.92815863712306,148.13526517122696,471.0781225749318
2024-03-14,65619,3569,183.853,0.9188727269385918,1.0391337780825904,159.0440048148931,0.7029376361080227,314.2333385402788,358.4210091060287,132.63652151540492,84.0281542603534,563.3388159406041,80.7033051851988,145.96109492874143,473.1698352461201
2024-03-15,63905,3442,185.065,0.9182314861576603,1.039717196922437,158.46563518663055,0.6877553831320875,318.5042009090492,355.3344658188329,130.53211514622836,85.64896010284191,556.1232266654423,80.6296313300583,143.70965520407694,468.05564482806113
2024-03-16,59997,3238,185.065,0.9182314861576603,1.039717196922437,158.46563518663055,0.6234791791010513,318.5042009090492,355.3344658188329,130.53211514622836,85.64896010284191,556.1232266654423,80.6296313300583,143.70965520407694,468.05564482806113
2024-03-17,62846,3350,185.065,0.9187967437843401,1.0399442589877184,158.56318565207008,0.6394825336739006,318.70027012624274,355.55320751943253,130.61246990940666,85.7016850732281,556.4655726860104,80.67926643267977,143.79812197945571,468.3437769896544
2024-03-18,62217,3241,183.673,0.9196670805168529,1.0362157401170924,159.74249321745526,0.6207752793488758,323.3696601830137,356.5797581275578,136.52089943440473,86.21602979721341,568.4333471283395,81.31843472662895,143.62164896307536,471.6567802455511
2024-03-19,57035,2911,173.446,0.920657717873649,1.0361298477925254,162.1057283323206,0.553315288442063,325.66149257029224,359.92837282954946,136.16159384264117,86.54827008414813,571.1907786922978,82.28525658730598,145.11130751809094,474.8264560201808
2024-03-20,62082,3218,175.423,0.9142857142857143,1.032375289065081,163.34354285714286,0.5979428571428572,325.7197714285714,361.1218285714285,136.84754285714286,88.02377142857142,573.5460571428572,82.5551542857143,148.97097142857143,475.8546285714286
2024-03-21,60342,3219,174.779,0.9206238146968386,1.0255358424776946,157.74612877685922,0.5947229842941577,335.3528751081733,366.09250428090076,136.92161808841672,101.0808123584541,572.9833735339066,84.12163281839776,145.6592587137044,480.6457255436284
2024-03-22,59117,3093,175.577,0.9251121698505943,1.0312574121626499,159.33761968638694,0.5892964521948286,330.98293168046627,364.9447245478514,140.35431796105277,101.91683241593043,580.4486794023775,87.17202460798372,147.06323141680926,482.2026920764142
2024-03-23,59269,3085,175.577,0.9251121698505943,1.0312574121626499,159.33761968638694,0.5957722373837827,330.98293168046627,364.9447245478514,140.35431796105277,101.91683241593043,580.4486794023775,87.17202460798372,147.06323141680926,482.2026920764142
2024-03-24,62226,3200,175.577,0.9252919296037899,1.0308215647871355,159.36858078723836,0.6116179654681052,331.0472454059256,365.0156374336103,140.3815903917686,101.93663600866073,580.5614671428835,87.18896311786368,147.09180746525527,482.29638951089066
2024-03-25,64541,3316,174.453,0.9227475731738826,1.0258198865443207,157.64773188646515,0.6191636215996752,328.2923633410844,362.5899678883845,139.4705274425128,108.05927730410069,578.97427379766,87.64865463403831,145.51452404680177,479.6506477687964
2024-03-26,64656,3318,175.366,0.9231394125140779,1.0215861146015304,156.75461108136554,0.6277348005095731,329.11489393128153,362.6894743644186,140.14733305023725,109.6191126783967,580.9104000886215,85.4445839410668,145.82556357661136,478.848106641065
2024-03-27,64260,3241,176.685,0.9248469378317887,1.0212522595206242,160.30926881601096,0.6122486728446441,337.2139910844755,367.6608771248358,140.50922072397017,110.30279488744613,567.1771821763497,83.48463829236262,147.93574163475944,483.84847307770565
2024-03-28,65638,3304,176.963,0.926629477936952,1.0283622303120052,159.24776218981077,0.6180618617839471,340.1073036935451,368.99961081561923,141.10343038232733,109.4034359421042,563.3221520042996,83.81419225708407,149.70347856706016,485.48527585759564
2024-03-29,64851,3259,176.963,0.9262518293473629,1.0290500838675818,159.18286063614974,0.635408754932291,339.968692688168,368.8492247272188,141.04592356569904,109.35884848372575,563.092569607825,83.78003371556657,149.6424667938719,485.28741594264653
2024-03-30,64563,3253,176.963,0.9262518293473629,1.0290500838675818,159.18286063614974,0.615031214686649,339.968692688168,368.8492247272188,141.04592356569904,109.35884848372575,563.092569607825,83.78003371556657,149.6424667938719,485.28741594264653
2024-03-31,66098,3381,176.963,0.9264921155520967,1.02717916058919,159.22415550243667,0.6161172568421444,340.0568866158949,368.9449107788093,141.08251338781108,109.38721811477384,563.2386458391239,83.80176774695647,149.68128671225008,485.41330813274783
2024-04-01,64935,3266,176.963,0.9313241566859762,1.0290606734173047,158.29344161528863,0.5923221636522809,338.2448264943096,368.0937657160952,145.71218358261777,115.73192765473952,571.7734274591616,84.10760519306349,149.25121537802448,486.3151228416563
2024-04-02,60831,3048,175.389,0.9286689388100036,1.0230283685766606,156.83918239986627,0.5525580185919521,338.5899090833109,363.6175369842405,144.80363295288862,114.018257631337,570.291880647468,83.05606374383595,144.94386196264892,481.82780620536585
2024-04-03,60921,3059,176.712,0.9226624347216328,1.02183664919326,156.54444464948054,0.5388348618774335,346.7513055673451,361.0248934324888,144.27395693011755,118.0795704083704,581.2275101031537,82.02524404421398,141.03356645937515,479.2271779446771
2024-04-04,63273,3074,176.325,0.9227901482923769,1.0235833606288895,155.83803187317173,0.5518285086788414,341.1333708601327,356.2394455876789,140.22349977391642,114.52379414397372,569.3126136185371,79.22854743602758,139.58769736174298,473.4900846198566
